"","session_id","AS1","CS1","AS2","CS2","SUBEXCL","FASTM","MB3","NB3","EB3","FB3","MB4","NB4","EB4","FB4","MB6","NB6","EB6","FB6","MB7","NB7","EB7","FB7","DIFF1","DIFF2","IAT1","IAT2","IAT"
"1",10458846,1300.34361431049,1307.43636615782,564.170814059633,564.170814059633,0,0,954.8,20,0,0,1033.5,40,0,0,1777.78947368421,20,0.05,0,1313.825,40,0,0,822.989473684211,280.325,0.632901538198887,0.496879655973075,0.564890597085981
"2",10461459,565.667084424493,553.47602464023,659.280043239597,648.853564676739,0,0,896.4,20,0,0,859.4,40,0,0,1564.68421052632,20,0.05,0,1482.51351351351,40,0.075,0,668.284210526316,623.113513513514,1.18140904593419,0.945142386612574,1.06327571627338
"3",10461523,429.269951850698,379.650208313217,513.74121327486,503.032753039631,0,0,862.315789473684,20,0.05,0,744.394736842105,40,0.05,0,1272.5,20,0.2,0,1157.72972972973,40,0.075,0,410.184210526316,413.334992887624,0.955539069897395,0.804558758782086,0.880048914339741
"4",10475013,1241.07849916027,1268.50144152179,1731.96028856359,1817.26776978651,0,0.0131578947368421,1873.61111111111,18,0,0.0526315789473684,1473.25714285714,40,0.125,0,1924.55555555556,20,0.1,0,1949.24324324324,40,0.075,0,50.9444444444446,475.986100386101,0.0410485271309704,0.274825065868492,0.157936796499731
"5",10477279,1001.66023079122,1001.66023079122,1017.85175618837,1030.2888788867,0,0,1302.35,20,0,0,1266.38461538462,40,0.025,0,1225.15,20,0,0,1461.63157894737,40,0.05,0,-77.1999999999998,195.246963562753,-0.0770720426216971,0.191822593394061,0.0573752753861822
"6",10479167,973.584616458792,982.233248875073,1441.58994583541,1450.61076203357,0,0,1409.3,20,0,0,962.923076923077,40,0.025,0,1360.10526315789,20,0.05,0,1720.025,40,0,0,-49.1947368421052,757.101923076923,-0.0505294927738696,0.525185351954003,0.237327929590067
"7",10482519,645.994617034529,636.529132116032,512.949371999047,504.875983903777,0,0,781.1,20,0,0,962.923076923077,40,0.025,0,1492.21052631579,20,0.05,0,1205.43243243243,40,0.075,0,711.110526315789,242.509355509356,1.10079946111653,0.472774446655929,0.78678695388623
"8",10482663,480.969256027108,474.580983860311,646.989605905858,647.577640713359,0,0,1013.05263157895,20,0.05,0,1082.35897435897,40,0.025,0,1108.15789473684,20,0.05,0,1306.5,40,0.05,0,95.1052631578947,224.141025641026,0.197736678521786,0.346436826179306,0.272086752350546
"9",10493439,1054.65036236246,1095.96076970399,910.193817639326,940.909462648457,0,0.00625,1514.61111111111,20,0.1,0,1213.56703296703,39,0.102564102564103,0.025,1305.66666666667,20,0.1,0,1399.94444444444,40,0.1,0,-208.944444444444,186.377411477411,-0.198117264167434,0.204766729750812,0.00332473279168875
"10",10494853,743.488474307213,760.655934046399,1379.85796034839,1416.84954347354,0,0,1424.11111111111,20,0.1,0,1413.34210526316,40,0.05,0,1317.72222222222,20,0.1,0,1712.7094017094,39,0.0769230769230769,0,-106.388888888889,299.367296446244,-0.143094200603476,0.216955154116485,0.0369304767565045
"11",10499385,574.299954140587,570.242597602214,351.310007754821,301.895692876967,0,0,1141.47058823529,20,0.15,0,893.027777777778,40,0.1,0,967.1,20,0,0,1006.81818181818,40,0.175,0,-174.370588235294,113.790404040404,-0.303622848962667,0.323903109870466,0.0101401304538995
"12",10499387,912.911139334951,1066.89354932357,589.197175278314,710.821103471993,1,0.15,1630.13333333333,18,0.166666666666667,0,1406.86206896552,40,0.275,0,2443,12,0.833333333333333,0.35,1110.13461538462,26,0.692307692307692,0.25,812.866666666667,-296.727453580902,0.890411598284181,-0.503613163862741,0.19339921721072
"13",10499907,566.490556666181,567.632755106121,650.109679831972,655.064702498665,0,0,1059.15789473684,20,0.05,0,1119.91891891892,40,0.075,0,1169.8,20,0,0,1337.38888888889,40,0.1,0,110.642105263158,217.46996996997,0.195311473353221,0.334512739490631,0.264912106421926
"14",10502013,645.434984358574,649.853917518479,609.704290564842,613.01668139968,0,0,1131.31578947368,20,0.05,0,1007.94444444444,40,0.1,0,1229.88888888889,20,0.1,0,1352.67567567568,40,0.075,0,98.5730994152048,344.731231231231,0.152723514845055,0.565407258183906,0.359065386514481
"15",10506783,528.234966941728,513.430492460504,411.268040464604,411.268040464604,0,0,940.277777777778,20,0.1,0,854.5,40,0,0,1306.94117647059,20,0.15,0,995.625,40,0,0,366.66339869281,141.125,0.694129358409662,0.343146041303314,0.518637699856488
"16",10508518,340.682485657554,335.893967026829,422.808048954099,414.015698879788,0,0,804.210526315789,20,0.05,0,872.166666666667,40,0.1,0,978.4,20,0,0,982.846153846154,40,0.025,0,174.18947368421,110.679487179487,0.511295652161297,0.261772422387122,0.386534037274209
"17",10509120,253.084844393216,253.084844393216,304.011674697027,266.767282594892,0,0,812.45,20,0,0,745.076923076923,40,0.025,0,982.35,20,0,0,962.194444444444,40,0.1,0,169.9,217.117521367521,0.671316373792923,0.71417494602435,0.692745659908636
"18",10509125,483.994254714342,483.994254714342,616.061686706932,601.042321221473,0,0.0125,749.75,20,0,0,820.076923076923,39,0,0,1326.36842105263,19,0,0.05,1332.85714285714,40,0.125,0,576.618421052632,512.78021978022,1.19137451619742,0.832352069353983,1.0118632927757
"19",10509335,724.92249629945,724.92249629945,522.7481539227,513.764995326205,0,0,1309.2,20,0,0,1049,40,0.075,0,1428.2,20,0,0,1208.35294117647,40,0.15,0,119,159.35294117647,0.164155479527074,0.304836927649933,0.234496203588504
"20",10510330,1015.7577994046,1015.7577994046,939.191680884808,940.215175508817,0,0,1107.75,20,0,0,951.075,40,0,0,2004,20,0,0,1586.26315789474,40,0.05,0,896.25,635.188157894737,0.882346166109033,0.676313654414325,0.779329910261679
"21",10511921,684.758129873896,676.797222097365,666.475820171314,673.898836466606,0,0,815.647058823529,20,0.15,0,891.971428571429,40,0.125,0,1562.66666666667,20,0.25,0,1330.0303030303,40,0.175,0,747.019607843137,438.058874458874,1.09092477365797,0.657276470054493,0.874100621856233
"22",10512571,745.724263880354,746.884668809063,1001.88873151226,1035.52958697213,0,0,1341.89473684211,20,0.05,0,1133.35897435897,40,0.025,0,1099.1,20,0,0,1135.82352941176,40,0.15,0,-242.794736842105,2.46455505279027,-0.325582455341777,0.00245990894524811,-0.161561273198265
"23",10514998,282.007565108696,270.032799027465,505.565025451447,496.403881086656,0,0,952.55,20,0,0,939.666666666667,40,0.025,0,948.263157894737,20,0.05,0,1207.56756756757,40,0.075,0,-4.28684210526308,267.900900900901,-0.0152011599533182,0.529903943932192,0.257351391989437
"24",10519322,399.194165340017,377.417986238516,303.826033956635,284.848880081943,0,0,877.210526315789,20,0.05,0,774.846153846154,40,0.025,0,1033.55555555556,20,0.1,0,914.447368421053,40,0.05,0,156.345029239766,139.601214574899,0.391651589162376,0.45947746069326,0.425564524927818
