"","session_id","AS1","CS1","AS2","CS2","SUBEXCL","FASTM","MB3","NB3","EB3","FB3","MB4","NB4","EB4","FB4","MB6","NB6","EB6","FB6","MB7","NB7","EB7","FB7","DIFF1","DIFF2","IAT1","IAT2","IAT"
"43",9854934,594.90684746441,593.910173441782,733.526388016259,733.443097467539,0,0,1718.125,20,0.2,0,1669.34210526316,40,0.05,0,1508.15789473684,20,0.05,0,1354.425,40,0,0,-209.967105263158,-314.917105263158,-0.352941147270487,-0.429319395195607,-0.391130271233047
"44",9854958,1086.61971591608,1093.4950525197,1057.80631657929,1087.24299639004,0,0,2599.41052631579,19,0.473684210526316,0,1979.23529411765,40,0.15,0,1395.2,20,0,0,1157.43243243243,40,0.075,0,-1204.21052631579,-821.802861685215,-1.10821707785835,-0.776893509525206,-0.942555293691778
"45",9854984,1567.61345346979,1600.46204538882,1517.53609053642,1547.64344809269,0,0,3402.33333333333,18,0.0555555555555556,0,3712.48148148148,40,0.325,0,2375.10526315789,20,0.05,0,1922.17948717949,40,0.025,0,-1027.22807017544,-1790.30199430199,-0.655281484030229,-1.17974261400871,-0.917512049019469
"46",9855002,877.892150776823,928.499074417576,582.311698764684,565.982770616399,0,0,1885.5625,20,0.2,0,1822.3,40,0.25,0,2151.05555555556,20,0.1,0,1333.68571428571,40,0.125,0,265.493055555556,-488.614285714286,0.302421038074697,-0.839094056930046,-0.268336509427674
"47",9855027,1291.55262414348,1311.59343212094,1552.98320616978,1571.08377272682,0,0,5217.5,16,0,0,4288.06666666667,36,0.0277777777777778,0,4724.36666666667,16,0.0625,0,3729.54954954955,37,0.027027027027027,0,-493.133333333333,-558.517117117117,-0.381814355927128,-0.359641440356991,-0.37072789814206
"48",9855095,696.915160813044,659.096001591965,448.496206339724,431.396656324222,0,0,2311.46153846154,20,0.35,0,1587.40540540541,40,0.075,0,1501.78947368421,20,0.05,0,1196.51282051282,40,0.025,0,-809.672064777328,-390.892584892585,-1.1617943048229,-0.871562745385842,-1.01667852510437
"49",9855125,897.645793755702,894.559432875965,740.20594437566,742.71881801364,0,0,2036.78947368421,20,0.05,0,1892.60526315789,40,0.05,0,1186.25,20,0,0,1154.94736842105,40,0.05,0,-850.539473684211,-737.657894736842,-0.947522374193499,-0.99655764769497,-0.972040010944234
"50",9855187,1320.79048920948,1353.25439483597,1160.88862381537,1201.851551482,0,0,2463.9375,20,0.2,0,1839.91428571429,40,0.125,0,1540.95,20,0,0,1245.86486486486,40,0.075,0,-922.9875,-594.049420849421,-0.698814465685944,-0.511719564360119,-0.605267015023032
"51",9855208,1239.66474898813,1264.89505775889,1566.81778936473,1566.81778936473,0,0,2112.74509803922,18,0.0555555555555556,0,2307.51282051282,39,0,0,1570.36842105263,20,0.05,0,1309.9,40,0,0,-542.376676986584,-997.61282051282,-0.437518835176443,-0.636712722618055,-0.537115778897249
"52",9855248,704.463383992299,718.228859378711,776.821579551657,800.329977469932,0,0,1725.27777777778,20,0.1,0,1652.91666666667,40,0.1,0,1665,20,0.1,0,1526.31428571429,40,0.125,0,-60.2777777777778,-126.602380952381,-0.085565522846872,-0.162974850705679,-0.124270186776275
