"","session_id","ord0","ord1","ord2","ord3","ord4","ord5","ord6","ord7","ord8","ord9","ord10","ord11","ord12","ord13","session_last_update_date","t.cesd","t.consent","t.deq","t.instcesd","t.instdeq","t.instiat","t.instqiat","t.instrses","t.instsds","t.lastpage","t.pimgr","t.realstart","t.rses","t.sc.iat","t.sc.qiat","t.sds","total_secs","completion_secs"
"63",9852434,"pimgr","consent","realstart","instrses","rses","instqiat","sc.qiat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-16 06:52:10,31,30,38,3,9,,4,9,5,0,5,9,117,,685,43,988,988
"64",9852437,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-16 06:50:11,22,2,25,1,2,3,,3,2,0,2,2,37,250,,23,374,374
"65",9852457,"pimgr","consent","realstart","instrses","rses",,,,,,,,,,,,7,,,,,,3,,,0,2,,,,,12,
"66",9852473,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instqiat","sc.qiat","instsds","sds","instcesd","cesd","lastpage",2017-06-16 08:02:26,37,3,39,62,38,,7,2,51,0,0,1,68,,864,45,1217,1217
"67",9852474,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
"68",9852487,"pimgr","consent","realstart","instqiat","sc.qiat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-16 08:23:47,22,3,24,3,6,,2,5,2,0,0,1,43,,510,33,654,654
"69",9852503,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-16 08:40:33,26,11,43,3,2,14,,2,5,1,1,2,44,219,,39,412,412
"70",9852508,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instqiat",,,,,,,,,33,72,,18,,,18,,,1,17,112,,,,271,
"71",9852513,"pimgr","consent","realstart","instrses","rses","instqiat",,,,,,,,,,,6,,,,,,5,,,5,7,78,,,,101,
"72",9852563,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-16 09:48:22,33,4,45,3,11,32,,14,15,0,1,7,78,531,,43,817,817
"73",9852569,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-16 09:46:20,32,15,36,11,15,10,,10,10,0,1,7,54,259,,42,502,502
"74",9852570,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat",,,,,,,,,15,55,,10,,,3,,,1,9,172,,,,265,
"75",9852589,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
"76",9852601,"pimgr","consent","realstart","instrses","rses",,,,,,,,,,,,2,,,,,,1,,,1,2,,,,,6,
"77",9852636,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-16 10:46:32,30,1,39,3,2,4,,3,7,0,2,1,55,365,,65,577,577
"78",9852646,"pimgr","consent","realstart","instqiat",,,,,,,,,,,,,6,,,,,,,,,1,5,,,,,12,
"79",9852692,"pimgr","consent","realstart","instqiat","sc.qiat",,,,,,,,,,,,5,,,,,4,,,,1,3,,,,,13,
"80",9852706,"pimgr","consent","realstart","instiat",,,,,,,,,,,,,2,,,,,,,,,1,6,,,,,9,
"81",9852717,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"82",9852763,"pimgr","consent","realstart","instqiat","sc.qiat","instdeq","deq","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-16 12:10:42,33,19,45,7,11,,7,6,6,0,1,7,57,,694,64,957,957
"83",9852765,"pimgr","consent","realstart","instqiat",,,,,,,,,,,,,3,,,,,,,,,1,1,,,,,5,
"84",9852779,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat",,,,,,,,,2,58,,8,,,4,,,1,8,46,,,,127,
"85",9852787,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,
"86",9852798,"pimgr","consent","realstart","instrses","rses",,,,,,,,,,,,2,,,,,,2,,,0,4,,,,,8,
"87",9852818,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instcesd","cesd","instsds","sds","lastpage",2017-06-16 13:50:42,42,3,53,13,2,,3,31,3,0,2,2,301,,4657,72,5184,5184
"88",9852827,"pimgr","consent","realstart","instqiat",,,,,,,,,,,,,2,,,,,,,,,3,2,,,,,7,
"89",9852850,"pimgr","consent","realstart","instqiat","sc.qiat",,,,,,,,,,,,2220,,,,,3,,,,1,3,,,,,2227,
"90",9852866,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat","sc.iat",,,,,,,,1,33,,2,3,,1,,,0,2,43,,,,85,
"91",9852877,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-16 13:15:02,25,9,22,2,16,5,,2,4,0,1,7,40,363,,45,541,541
"92",9852898,"pimgr","consent","realstart","instdeq",,,,,,,,,,,,,14,,,,,,,,,2,9,,,,,25,
"93",9852901,"pimgr","consent","realstart",,,,,,,,,,,,,,7,,,,,,,,,0,,,,,,7,
"94",9852935,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat",,,,,,,,4,27,,17,,5,4,,,2,8,38,,,,105,
"95",9852960,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
"96",9852973,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-16 13:56:09,40,17,51,5,11,33,,9,7,0,1,5,102,510,,50,841,841
"97",9852978,"pimgr","consent","realstart",,,,,,,,,,,,,,10,,,,,,,,,1,,,,,,11,
"98",9853006,"pimgr","consent","realstart","instqiat","sc.qiat",,,,,,,,,,,,11,,,,,9,,,,9,11,,,,,40,
"99",9853014,"pimgr","consent","realstart","instiat","sc.iat","instdeq","deq","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-16 14:17:24,58,36,48,5,15,65,,10,8,0,0,12,46,343,,42,688,688
"100",9853033,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
"101",9853046,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-16 14:37:28,20,2,17,1,3,11,,2,4,0,2,3,27,253,,23,368,368
"102",9853053,"pimgr","consent","realstart","instqiat",,,,,,,,,,,,,5,,,,,,,,,1,4,,,,,10,
"103",9853059,"pimgr","consent","realstart",,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,3,
"104",9853062,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-16 14:58:45,31,31,61,7,13,60,,13,8,0,1,13,56,386,,45,725,725
"105",9853085,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-16 15:07:24,27,12,47,7,14,11,,5,7,0,1,8,44,425,,152,760,760
"106",9853086,"pimgr","consent","realstart","instrses","rses","instqiat","sc.qiat","instdeq","deq","instcesd","cesd",,,,,,2,22,3,10,,3,3,,,2,3,35,,480,,563,
"107",9853099,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat",,,,,,,,,,4,24,,3,5,,,,,1,3,,,,,40,
"108",9853106,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instqiat","sc.qiat","instsds","sds","instcesd","cesd","lastpage",2017-06-16 15:09:36,24,4,28,4,2,,3,5,5,0,1,3,43,,309,47,478,478
"109",9853118,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-16 15:18:05,23,27,31,9,11,20,,20,9,0,1,5,54,323,,46,579,579
"110",9853131,"pimgr","consent","realstart",,,,,,,,,,,,,,3,,,,,,,,,0,,,,,,3,
"111",9853209,"pimgr","consent","realstart","instqiat",,,,,,,,,,,,,6,,,,,,,,,0,2,,,,,8,
"112",9853221,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,14,,,,16,,,,,1,4,,,,,35,
"113",9853228,"pimgr","consent","realstart",,,,,,,,,,,,,,17,,,,,,,,,1,,,,,,18,
"114",9853246,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-16 16:34:18,40,33,75,7,10,34,,270,6,0,3,9,67,389,,65,1008,1008
"115",9853252,"pimgr","consent","realstart","instdeq","deq","instqiat","sc.qiat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-16 16:45:59,40,6,96,4,13,,8,5,8,0,2,7,80,,1221,63,1553,1553
"116",9853263,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-16 16:40:56,37,14,47,6,9,18,,7,3,0,0,8,55,283,,38,525,525
"117",9853272,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat",,,,,,,,,,1436,,,,2,,22,,,2,17,132,,,,1611,
"118",9853276,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-16 16:52:17,20,7,27,6,5,5,,7,4,0,1,6,39,262,,39,428,428
"119",9853293,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-16 17:07:38,27,12,30,3,9,11,,11,1,0,0,14,51,369,,60,598,598
"120",9853294,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"121",9853301,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,343,,,,4,,,,,3,2,,,,,352,
"122",9853316,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat",,,,,,,,2,35,,3,,7,4,,,2,2,60,,,,115,
"123",9853322,"pimgr","consent","realstart","instqiat","sc.qiat","instdeq","deq","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-16 17:36:22,54,31,43,4,11,,9,6,3,0,1,11,67,,775,52,1067,1067
"124",9853333,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-16 18:41:59,23,4,52,3,2,26,,11,12,0,2,5,47,4033,,32,4252,4252
"125",9853355,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-16 17:58:22,37,22,47,14,11,21,,9,8,0,1,6,70,284,,52,582,582
"126",9853386,"pimgr","consent","realstart","instqiat","sc.qiat","instdeq","deq","instrses","rses","instcesd",,,,,,,7,8,,2,,3,1,,,2,12,4,,421,,460,
"127",9853415,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-16 19:10:48,54,9,67,2,3,11,,6,5,0,1,19,117,411,,75,780,780
"128",9853428,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
"129",9853453,"pimgr","consent","realstart",,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,5,
"130",9853462,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-16 20:00:37,21,7,46,2,4,13,,4,2,0,1,6,56,257,,56,475,475
"131",9853490,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-16 20:39:04,22,3,30,2,10,10,,4,3,0,1,8,45,338,,38,514,514
"132",9853519,"pimgr","consent","realstart","instrses","rses","instqiat","sc.qiat",,,,,,,,,,21,,,,,2,4,,,1,3,43,,,,74,
"133",9853525,"pimgr","consent","realstart","instrses",,,,,,,,,,,,,16,,,,,,,,,1,5,,,,,22,
"134",9853531,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,3,,,,5,,,,,1,3,,,,,12,
"135",9853540,"pimgr","consent","realstart","instdeq","deq",,,,,,,,,,,,7,,,1,,,,,,1,3,,,,,12,
"136",9853564,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,2,,,,6,,,,,3,3,,,,,14,
"137",9853578,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-16 22:26:27,21,3,36,2,2,6,,3,2,0,1,3,47,355,,67,548,548
"138",9853587,"pimgr","consent","realstart","instqiat","sc.qiat","instdeq","deq","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-16 22:43:00,27,2,20,3,10,,2,3,2,0,2,2,41,,548,29,691,691
"139",9853589,"pimgr","consent","realstart","instqiat","sc.qiat","instdeq","deq","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-16 22:54:57,31,5,54,9,10,,4,13,50,0,2,2,57,,1024,49,1310,1310
"140",9853599,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-16 23:01:54,39,35,51,6,15,55,,8,3,0,1,14,72,513,,42,854,854
"141",9853600,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-16 22:56:55,32,4,25,6,4,19,,3,5,0,1,6,54,294,,48,501,501
"142",9853620,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-16 23:26:15,27,24,54,9,12,38,,8,4,0,1,8,41,381,,39,646,646
"143",9853621,"pimgr","consent","realstart","instrses","rses",,,,,,,,,,,,50,,,,,,14,,,1,9,,,,,74,
"144",9853643,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"145",9853671,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-17 00:39:16,25,95,32,4,8,77,,18,3,0,0,5,63,330,,43,703,703
"146",9853710,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,4,,,,3,,,,,2,2,,,,,11,
"147",9853740,"pimgr","consent","realstart",,,,,,,,,,,,,,28,,,,,,,,,1,,,,,,29,
"148",9853746,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instqiat","sc.qiat",,,,,,,,1,29,,2,,3,2,,,3,4,44,,,,88,
"149",9853812,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat","sc.iat",,,,,,,,2,44,,9,3,,1,,,2,3,80,,,,144,
"150",9853891,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq",,,,,,,,,4,,,,5,,1,,,1,2,47,379,,,439,
"151",9853931,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instqiat","sc.qiat","instcesd","cesd","instsds","sds","lastpage",2017-06-17 10:42:02,74,28,54,17,10,,15,13,10,0,1,16,80,,1063,70,1451,1451
"152",9853937,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-17 10:37:09,16,13,22,2,3,15,,2,2,0,0,5,129,299,,29,537,537
"153",9853954,"pimgr","consent","realstart","instiat","sc.iat","instdeq","deq","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-17 11:17:51,45,109,60,4,13,4,,8,12,0,2,4,97,374,,58,790,790
"154",9853966,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-17 11:28:52,35,35,48,9,17,42,,10,20,0,2,11,59,400,,67,755,755
"155",9853973,"pimgr","consent","realstart","instiat","sc.iat","instdeq","deq",,,,,,,,,,15,,,17,4,,,,,3,2,,533,,,574,
"156",9853975,"pimgr","consent","realstart","instqiat","sc.qiat",,,,,,,,,,,,31,,,,,20,,,,1,14,,,,,66,
"157",9854001,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-17 11:53:32,28,10,36,7,7,17,,7,6,0,0,7,43,258,,58,484,484
"158",9854003,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instcesd","cesd","instsds","sds","lastpage",2017-06-17 12:02:40,50,4,54,7,6,,5,5,6,0,1,8,87,,646,55,934,934
"159",9854019,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"160",9854029,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-17 12:21:33,23,9,33,1,2,212,,2,3,0,3,16,44,209,,39,596,596
"161",9854037,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-17 12:29:17,24,7,29,2,3,11,,4,9,0,1,5,46,275,,36,452,452
"162",9854042,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"163",9854051,"pimgr","consent","realstart","instrses","rses",,,,,,,,,,,,3,,,,,,2,,,1,3,,,,,9,
"164",9854117,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-17 13:59:15,15,10,15,4,4,7,,2,1,0,1,3,13,187,,18,280,280
"165",9854139,"pimgr","consent","realstart","instrses","rses","instqiat","sc.qiat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-17 14:42:45,50,2,42,4,10,,5,3,4,0,3,4,422,,1278,43,1870,1870
"166",9854144,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"167",9854156,"pimgr","consent","realstart","instdeq","deq","instqiat","sc.qiat",,,,,,,,,,4,31,,10,,5,,,,1,6,,,,,57,
"168",9854196,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instsds","sds","instcesd","cesd","lastpage",2017-06-17 15:23:27,28,36,37,2,12,,7,4,4,0,1,10,51,,464,42,698,698
"169",9854207,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-17 15:28:58,27,15,27,2,5,6,,7,1,0,1,4,48,296,,33,472,472
"170",9854238,"pimgr","consent","realstart","instiat","sc.iat","instdeq","deq","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-17 16:13:29,22,4,21,6,28,2,,10,4,0,3,3,37,264,,29,433,433
"171",9854266,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instsds","sds","instcesd","cesd","lastpage",2017-06-17 17:06:34,33,18,50,3,2,,5,3,3,0,1,3,61,,695,52,929,929
"172",9854270,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,
"173",9854274,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instcesd","cesd","instsds","sds","lastpage",2017-06-17 17:17:41,49,3,61,75,2,,5,7,2,0,0,4,89,,737,50,1084,1084
"174",9854281,"pimgr","consent","realstart","instiat","sc.iat","instdeq","deq","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-17 17:16:12,33,3,32,3,3,52,,5,5,0,1,4,35,282,,39,497,497
"175",9854291,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-17 17:41:29,37,17,32,2,11,39,,15,2,0,1,11,58,470,,63,758,758
"176",9854297,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-17 17:48:33,34,3,36,8,10,28,,12,8,0,0,6,75,395,,44,659,659
"177",9854315,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-17 18:06:19,23,2,23,2,6,20,,1,1,0,2,2,37,296,,28,443,443
"178",9854337,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-17 18:31:02,26,2,30,2,1,7,,3,7,0,2,6,36,367,,33,522,522
"179",9854346,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"180",9854369,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-17 19:08:22,22,35,36,4,8,27,,7,3,0,1,7,67,511,,35,763,763
"181",9854433,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat","sc.iat","instsds","sds","instcesd","cesd","lastpage",2017-06-17 20:24:31,16,12,31,10,8,26,,11,9,0,4,13,39,303,,32,514,514
"182",9854456,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,62,,,,35,,,,,2,15,,,,,114,
"183",9854467,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instsds",,,,,,,6,33,,4,,3,2,,,1,5,32,,539,,625,
"184",9854475,"pimgr","consent","realstart","instqiat","sc.qiat",,,,,,,,,,,,4,,,,,2,,,,1,2,,,,,9,
"185",9854511,"pimgr","consent","realstart","instdeq","deq","instrses","rses",,,,,,,,,,1,41,,1,,,2,,,1,2,,,,,48,
"186",9854521,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat",,,,,,,,8,24,,2,,3,2,,,0,2,31,,,,72,
"187",9854545,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
"188",9854568,"pimgr","consent","realstart","instrses","rses",,,,,,,,,,,,2,,,,,,4,,,1,4,,,,,11,
"189",9854588,"pimgr","consent","realstart","instiat","sc.iat","instdeq","deq","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-18 00:06:59,15,2,20,2,4,5,,2,2,0,2,2,24,198,,22,300,300
"190",9854611,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat",,,,,,,,5,80,,4,12,,2,,,2,6,110,,,,221,
"191",9854636,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-18 01:20:09,18,4,21,3,2,7,,5,2,0,2,3,32,202,,28,329,329
"192",9854654,"pimgr","consent","realstart","instrses","rses",,,,,,,,,,,,3,,,,,,1,,,1,3,,,,,8,
"193",9854675,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,6,,,,43,,,,,2,10,,,,,61,
"194",9854715,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"195",9854727,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
"196",9854736,"pimgr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"197",9854740,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat",,,,,,,,3,18,,2,,5,2,,,2,2,24,,,,58,
"198",9854746,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,
"199",9854752,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
"200",9854756,"pimgr","consent","realstart","instdeq","deq","instqiat","sc.qiat","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-18 07:38:51,23,8,33,7,10,,3,11,4,0,0,4,42,,654,31,830,830
"201",9854783,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,9,,,,19,,,,,2,2,,,,,32,
"202",9854791,"pimgr","consent","realstart","instrses","rses","instqiat","sc.qiat","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-18 09:14:59,53,38,73,11,16,,8,656,12,0,2,16,149,,1247,167,2448,2448
"203",9854793,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-18 08:51:15,37,8,56,2,4,3,,3,3,0,0,2,80,335,,48,581,581
"204",9854794,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instcesd","cesd","instsds","sds","lastpage",2017-06-18 08:59:57,30,6,90,3,3,,2,10,4,0,2,3,82,,632,59,926,926
"205",9854806,"pimgr","consent","realstart","instdeq","deq","instqiat","sc.qiat","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-18 09:45:14,27,3,47,3,4,,3,4,1,0,2,5,42,,655,38,834,834
"206",9854835,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",,42,2,56,44,8,13,,24471,9,,1,10,101,48896,,66,73719,
"207",9854840,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,
"208",9854841,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-18 10:52:12,114,136,129,25,28,85,,25,24,0,12,52,117,873,,88,1708,1708
"209",9854848,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-18 10:47:26,24,3,32,2,14,5,,11,6,0,2,8,39,362,,27,535,535
"210",9854858,"pimgr","consent","realstart","instdeq","deq","instqiat","sc.qiat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-18 11:03:01,26,11,28,2,4,,4,3,3,0,0,4,38,,439,29,591,591
"211",9854874,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instqiat","sc.qiat","instsds","sds","instcesd","cesd","lastpage",2017-06-18 11:37:17,38,26,47,2,5,,5,31,8,0,0,49,56,,836,59,1162,1162
"212",9854934,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instqiat","sc.qiat","instcesd","cesd","instsds","sds","lastpage",2017-06-18 13:17:04,41,38,37,10,10,,7,12,10,0,3,11,64,,803,48,1094,1094
"213",9854954,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"214",9854958,"pimgr","consent","realstart","instdeq","deq","instqiat","sc.qiat","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-18 13:42:38,21,13,34,8,24,,5,6,7,0,0,10,40,,601,33,802,802
"215",9854968,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,
"216",9854969,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-18 13:46:02,29,2,44,4,2,23,,2,4,0,1,1,32,241,,27,412,412
"217",9854971,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
"218",9854983,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-18 14:00:07,17,4,34,1,6,3,,4,2,0,0,3,38,271,,38,421,421
"219",9854984,"pimgr","consent","realstart","instrses","rses","instqiat","sc.qiat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-18 14:13:18,29,21,44,7,11,,6,7,7,0,1,1,53,,795,44,1026,1026
"220",9854989,"pimgr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"221",9855002,"pimgr","consent","realstart","instqiat","sc.qiat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-18 14:18:23,35,14,36,2,6,,7,8,3,0,1,10,58,,584,42,806,806
