"","session_id","ord0","ord1","ord2","ord3","ord4","ord5","ord6","ord7","ord8","ord9","ord10","ord11","ord12","ord13","session_last_update_date","t.cesd","t.consent","t.deq","t.instcesd","t.instdeq","t.instiat","t.instqiat","t.instrses","t.instsds","t.lastpage","t.pimgr","t.realstart","t.rses","t.sc.iat","t.sc.qiat","t.sds","total_secs","completion_secs"
"1280",9869669,"pimgr","consent","realstart","instqiat",,,,,,,,,,,,,5928,,,,,,,,,6,13,,,,,5947,
"1281",9869691,"pimgr","consent","realstart","instqiat","sc.qiat","instrses","rses","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-28 13:01:04,24,3,23,2,3,,2,3,4,0,0,2,40,,568,28,702,702
"1282",9869702,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat","sc.iat",,,,,,,,16,78,,4,4,,3,,,6,5,69,,,,185,
"1283",9869709,"pimgr","consent","realstart","instiat","sc.iat","instdeq","deq","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-28 13:21:17,47,4,35,4,6,28,,6,3,0,1,3,76,669,,42,924,924
"1284",9869714,"pimgr","consent","realstart","instrses","rses",,,,,,,,,,,,8,,,,,,5,,,0,10,,,,,23,
"1285",9869762,"pimgr","consent","realstart","instdeq",,,,,,,,,,,,,5,,,,,,,,,1,4,,,,,10,
"1286",9869765,"pimgr","consent","realstart","instqiat","sc.qiat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-28 14:16:56,63,1,44,7,8,,4,7,5,0,1,4,71,,723,61,999,999
"1287",9869766,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instcesd","cesd","instsds","sds","lastpage",2017-06-28 14:11:15,37,6,30,3,1,,2,20,5,0,3,2,38,,415,42,604,604
"1288",9869768,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-28 14:10:38,17,4,57,10,3,22,,6,6,0,1,6,48,289,,38,507,507
"1289",9869773,"pimgr","consent","realstart","instqiat","sc.qiat","instdeq","deq","instrses","rses","instcesd","cesd","instsds","sds","lastpage",2017-06-28 14:24:57,29,28,44,4,20,,14,11,3,0,2,11,44,,904,37,1151,1151
"1290",9869786,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instsds","sds","instcesd","cesd","lastpage",2017-06-28 14:35:03,22,7,32,7,3,,3,3,121,0,1,23,45,,587,36,890,890
"1291",9869793,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat",,,,,,,,,,3,,,,2,,2,,,2,1,28,,,,38,
"1292",9869803,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instiat","sc.iat","instcesd","cesd","instsds","sds","lastpage",2017-06-28 14:49:50,31,18,58,4,4,3,,5,3,0,4,6,51,625,,54,866,866
"1293",9869817,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-28 14:49:24,17,10,26,3,2,3,,2,2,0,2,2,29,236,,39,373,373
"1294",9869820,"pimgr","consent","realstart","instrses","rses","instqiat",,,,,,,,,,,3,,,,,,9,,,1,8,62,,,,83,
"1295",9869822,"pimgr","consent","realstart","instqiat","sc.qiat","instdeq","deq","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-28 15:44:09,16,2881,19,1,2,,2,1,1,0,1,1,28,,440,29,3422,3422
"1296",9869837,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-28 15:03:17,30,23,23,11,6,29,,5,2,0,1,6,56,406,,44,642,642
"1297",9869859,"pimgr","consent","realstart","instdeq","deq","instqiat","sc.qiat",,,,,,,,,,2,49,,3,,3,,,,1,1,,,,,59,
"1298",9869865,"pimgr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"1299",9869877,"pimgr","consent","realstart","instqiat",,,,,,,,,,,,,11,,,,,,,,,4,6,,,,,21,
"1300",9869880,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,4,,,,2,,,,,0,2,,,,,8,
"1301",9869881,"pimgr","consent","realstart","instiat","sc.iat",,,,,,,,,,,,4,,,,3,,,,,1,6,,,,,14,
"1302",9869890,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-28 15:13:16,20,13,32,6,7,13,,5,4,0,1,5,49,315,,33,503,503
"1303",9869897,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"1304",9869911,"pimgr","consent","realstart","instqiat",,,,,,,,,,,,,20,,,,,,,,,2,3,,,,,25,
"1305",9869917,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
"1306",9869922,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-28 15:42:11,98,7,58,12,4,8,,4,54,0,4,5,118,412,,63,847,847
"1307",9869936,"pimgr","consent","realstart","instqiat","sc.qiat","instdeq","deq","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-28 15:54:44,22,3,33,2,8,,3,3,2,0,1,19,44,,990,39,1169,1169
"1308",9869942,"pimgr","consent","realstart","instiat","sc.iat","instrses","rses","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-28 15:46:49,24,10,30,5,5,11,,6,6,0,2,9,46,263,,36,453,453
"1309",9869972,"pimgr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"1310",9869975,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
