"","session_id","AS1","CS1","AS2","CS2","SUBEXCL","FASTM","MB3","NB3","EB3","FB3","MB4","NB4","EB4","FB4","MB6","NB6","EB6","FB6","MB7","NB7","EB7","FB7","DIFF1","DIFF2","IAT1","IAT2","IAT"
"230",9861023,385.779459191334,380.728079402274,641.258886990641,641.904929794466,0,0,955.105263157895,20,0.05,0,923.230769230769,40,0.025,0,1020.75,20,0,0,1259.66666666667,40,0.025,0,65.6447368421053,336.435897435897,0.170161306617281,0.524649099234718,0.347405202925999
"231",9861033,1251.23884067787,1266.49751952657,683.201155503788,678.541691182883,0,0,2229.52941176471,20,0.15,0,1428.63157894737,40,0.05,0,1227.9,20,0,0,903.375,40,0,0,-1001.62941176471,-525.256578947368,-0.800510165766644,-0.768816877307604,-0.784663521537124
"232",9861135,1354.82368424257,1380.11971489932,1143.92793324392,1143.92793324392,0,0,2230.5,20,0.1,0,1739.325,40,0,0,1857.4,20,0,0,1200.975,40,0,0,-373.1,-538.35,-0.275386387423973,-0.470615310943027,-0.3730008491835
"233",9861144,369.834552862801,369.834552862801,539.714255739184,539.714255739184,0,0,1340.84210526316,19,0,0,1460.725,40,0,0,1283.3,20,0,0,1169.525,40,0,0,-57.542105263158,-291.2,-0.155588775623419,-0.539544762628471,-0.347566769125945
"234",9861154,1336.59842842151,1336.59842842151,1113.33874124435,1117.84567655649,0,0,2812.38888888889,18,0,0,2100.09355509356,39,0.0512820512820513,0,2012.42105263158,19,0,0,1418.85,40,0,0,-799.96783625731,-681.243555093555,-0.598510232577522,-0.61189243655722,-0.605201334567371
"235",9861193,834.804467936756,846.533075400925,457.134524982754,445.122421791287,0,0,1531.73684210526,20,0.05,0,1059.25641025641,40,0.025,0,1553.19005847953,19,0.0526315789473684,0,1138.6,40,0.125,0,21.453216374269,79.3435897435897,0.0256984925192018,0.173567266105274,0.099632879312238
"236",9861245,855.216925604991,856.327359459398,491.008382626116,481.161607447231,0,0,1711.31578947368,20,0.05,0,1266.97297297297,40,0.075,0,1247.95,20,0,0,1012.475,40,0,0,-463.365789473684,-254.497972972973,-0.541810826704457,-0.518316961539053,-0.530063894121755
"237",9861308,1623.77328845279,1681.53525857349,790.930846607645,808.506107932986,0,0,1549.38888888889,20,0.1,0,1375.57142857143,40,0.125,0,1460.78947368421,20,0.05,0,1099.72972972973,40,0.075,0,-88.5994152046783,-275.841698841699,-0.0545639073106691,-0.348755773055005,-0.201659840182837
"238",9861309,259.866077121768,166.516448830416,216.885739995748,125.307481789355,0,0,849.375,20,0.2,0,783.085714285714,40,0.125,0,697.736842105263,20,0.05,0,598.447368421053,40,0.05,0,-151.638157894737,-184.638345864662,-0.583524250545723,-0.851316208563465,-0.717420229554594
"239",9861445,311.190412588376,296.277685519129,211.846836465058,211.846836465058,0,0,932.421052631579,20,0.05,0,781.1,40,0,0,760.85,20,0,0,545.425,40,0,0,-171.571052631579,-235.675,-0.551337848761179,-1.11247825991903,-0.831908054340106
"240",9861454,728.865149194714,735.847132313304,497.02413697601,490.602278176545,0,0,1217.63157894737,20,0.05,0,1177.78947368421,40,0.05,0,1203.15789473684,20,0.05,0,926.717948717949,40,0.025,0,-14.4736842105262,-251.071524966262,-0.0198578354672568,-0.505149561737241,-0.262503698602249
"241",9861461,441.603888689954,422.869208938021,533.662768154853,521.413810046041,0,0,1180.61111111111,20,0.1,0,1196.97222222222,40,0.1,0,894.473684210526,19,0,0,789.96783625731,38,0.0526315789473684,0,-286.137426900585,-407.004385964912,-0.647950423963497,-0.762662134688796,-0.705306279326147
"242",9861535,497.079900170905,485.747043514833,358.50414431931,333.559190938654,0,0,1148.78947368421,20,0.05,0,963.810810810811,40,0.075,0,671.9,20,0,0,639.538461538462,40,0.025,0,-476.889473684211,-324.272349272349,-0.959381929384486,-0.904514925170652,-0.931948427277569
