"","session_id","qiatmod0","qiatmod1","qiatmod2"
"1",9851595,-0.0894137547209949,0.578924974175034,0.177016733038423
"2",9851612,-1.07401688747259,-1.27316161146923,-1.27496010584341
"3",9851616,-1.03044920711392,-0.6664788438194,-1.14567427429659
"4",9851619,-0.0274106170724005,0.0968323799218037,0.616227539811897
"5",9851642,-1.02011225760705,-0.55865771663015,-1.0518562662381
"6",9851676,0.241061305054458,-0.162838174714701,-0.589992086916007
"7",9851689,-1.24419616417533,0.143144188426054,-0.948394879915425
"8",9851841,-0.819445107726249,-0.590910788885051,-0.326159522092774
"9",9851856,-0.396688283981019,-0.360081399406857,-0.192899086692647
"10",9851931,-0.00316979597684711,-0.275273852586177,-0.436681590778451
"11",9851979,-1.45791424351249,-1.22011453704405,-0.92755666303951
"12",9852149,-0.579166808558563,-0.975505435836738,-0.761299742222527
"13",9852155,-0.19765836853066,-0.902686749396103,-1.1409117940697
"14",9852163,-0.0968250059435257,-1.07980978261359,-0.396105827829334
"15",9852376,0.321876739779035,-1.00996893318153,-1.01032726129549
"16",9852384,0.566458103409916,0.0465844096809839,0.250797292088484
"17",9852400,0.0635778236661723,-0.332047262026645,0.0812904705776698
"18",9852434,1.42500607294614,0.772492008372092,1.5313574073422
"19",9852473,0.663405047900457,-0.0281363081174873,0.0519767584077705
"20",9852487,-0.153609829784647,-0.421958149857829,-0.888124651660358
"21",9852763,-0.0875670410141376,-0.386257231770014,-0.441866558940162
"22",9852818,-0.433041631754072,-0.608237416836047,-0.175375633486632
"23",9853006,,,
"24",9853086,-1.2286155897891,-0.977574783301722,-1.11057168691372
"25",9853106,,,
"26",9853322,-0.637570898121904,-0.45008683669622,-0.97477086735995
"27",9853386,,,
"28",9853587,0.212650593469245,0.895979820760228,0.573283693106814
"29",9853589,-0.0380681277575211,0.465918245630373,-0.0343921009183959
"30",9853931,-1.0281478685684,-1.69387368634761,-1.62777605434414
"31",9854003,0.261526283952561,0.496673464932818,0.666590196253396
"32",9854139,-0.911218045657322,-0.424887669273303,-0.668402090547854
"33",9854196,-0.464717082981131,-0.20507099068009,-1.05009411047341
"34",9854266,-0.538629817366671,0.0102565838248288,-1.00705005312767
"35",9854274,0.204625205968253,,-0.1047830208308
"36",9854467,-0.166696041210915,-0.205885698301134,-0.413839498208285
"37",9854756,-0.922714565167461,-1.22826729203986,-1.16157993239055
"38",9854791,-0.22386487038536,-1.15721570400276,-1.00720601132642
"39",9854794,0.475836738631615,-0.326853256162929,-0.708167989373783
"40",9854806,-1.03264841576314,-0.623936804326373,-0.371725491123644
"41",9854858,-1.08862555041823,-0.887170792689596,-0.936065372715585
"42",9854874,-0.186571595466417,0.0400434952759208,-0.84006557278164
"43",9854934,-0.161631272888135,-0.427727786189196,-0.780682343229025
"44",9854958,-1.33242801568354,-0.538219639053599,-0.860255139345766
"45",9854984,-0.983022641388204,-0.793837014393107,-0.663071126628795
"46",9855002,-0.376440269900944,0.0500621062422517,-0.158907172125688
"47",9855027,0.0794292708242487,-0.882411850443234,-0.294327439149938
"48",9855095,-0.866298602648856,-1.07555948563153,-1.137016425185
"49",9855125,-1.04005942691577,-0.870059484847686,-1.11492629263212
"50",9855187,-0.0985355762340252,-0.458841525710711,-1.10877902544002
"51",9855208,-0.437783954321728,-0.576102499138037,-0.886006608593664
"52",9855248,-0.811750201448949,0.814294746252563,-0.572673307776292
"53",9855251,,,
"54",9855420,,,
"55",9855430,-0.590345622515706,-0.315962891452497,-0.382809657321746
"56",9855460,-0.643105938623876,-0.984246969118186,-0.678737415528187
"57",9855505,1.19492914631356,1.32675165933631,1.32559052100106
"58",9855507,0.519995312059743,0.665636757355346,1.08548761763179
"59",9855517,0.923221312750064,1.13543558454491,1.02688904912695
"60",9855559,,,
"61",9855631,-0.287738373493017,0.560559806505042,0.653427510429065
"62",9855657,-1.09319621190844,-1.19460624939082,-1.21781226392333
"63",9855703,-1.10553707251021,-0.819715101539477,-1.13556299023369
"64",9855774,-0.824819485673804,-1.06009952696646,-0.572360680669333
"65",9855786,0.12530495427939,0.319062658132758,1.06813212135025
"66",9855975,,-0.747669648905829,-1.34427670494766
"67",9855977,-1.23883809971473,-0.533596811215735,-0.938404083771835
"68",9856040,0.332210531727187,-0.239777119248884,0.259095661173095
"69",9856069,-1.12294342190284,-1.29116020928462,-1.7517118056738
"70",9856136,-1.15779477819923,-0.96460543640793,-0.760410556285686
"71",9856191,-0.889483653615668,0.0366091038505595,0.207870842344168
"72",9856217,0.207768808833852,-0.541415863914962,0.683377328737526
"73",9856280,-1.03011434086792,-0.689051167673598,-0.695631192030172
"74",9856368,0.17886749561287,-0.906019134990062,-0.756613873948106
"75",9856382,-0.717034724969032,-0.364443926384125,-0.943283804601842
"76",9856520,0.0205282549741117,0.299796169104857,-0.13874954069458
"77",9856537,-0.782376585126667,-1.18474521435324,-0.884009624340686
"78",9856548,0.85744264196453,,0.532886200256576
"79",9856551,-0.517652661669121,-0.464381304967035,-0.537110261767847
"80",9856569,-0.875436528691593,-0.577847546936521,-1.12531393465846
"81",9856612,-0.82699079378371,-0.524807471604329,-0.659619547470493
"82",9856629,-0.0528297729793389,-0.346708529858823,-0.405351614092822
"83",9856825,-0.959341319139609,-1.20082802730183,-1.4149769033394
"84",9856857,-1.1923484804577,-1.24646758402162,-0.0761295908835717
"85",9856891,-1.39016536251109,-1.16679492100701,-0.90299651933104
"86",9856893,-0.996398671544433,-0.506906515821079,-0.70870902029379
"87",9856899,-0.151446701129791,-0.20447799584369,-0.273099931773339
