session_id	 task_number	 task_id	 task_url	 user_agent	 study_url	 task_status	 task_sequence	 task_creation_date	user_id	 study_name	 session_date	 session_status	 session_creation_date	 session_created_by	 session_last_update_date 
10456157	0	pimgr	/common/all/js/quest/0.1/dist/manager.jsp?i=/implicit//user/pinus/sc.b1//mgr.jsp&	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	13Apr2018 19:38:12	-1	pinus.ybalab.sc.b1	13Apr2018 19:38:12	null	13Apr2018 19:38:12	YUIAT_RESEARCH_USER	NULL 
10456157	1	realstart	instqiat.sc.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	13Apr2018 19:38:14	-1	pinus.ybalab.sc.b1	13Apr2018 19:38:12	null	13Apr2018 19:38:12	YUIAT_RESEARCH_USER	NULL 
10456158	0	pimgr	/common/all/js/quest/0.1/dist/manager.jsp?i=/implicit//user/pinus/sc.b1//mgr.jsp&	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	13Apr2018 19:40:39	-1	pinus.ybalab.sc.b1	13Apr2018 19:40:39	null	13Apr2018 19:40:39	YUIAT_RESEARCH_USER	NULL 
10456158	1	realstart	instqiat.sc.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	13Apr2018 19:40:40	-1	pinus.ybalab.sc.b1	13Apr2018 19:40:39	null	13Apr2018 19:40:39	YUIAT_RESEARCH_USER	NULL 
10456160	0	pimgr	/common/all/js/quest/0.1/dist/manager.jsp?i=/implicit//user/pinus/sc.b1//mgr.jsp&	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	13Apr2018 19:41:03	-1	pinus.ybalab.sc.b1	13Apr2018 19:41:03	null	13Apr2018 19:41:03	YUIAT_RESEARCH_USER	NULL 
10456160	1	realstart	instqiat.sc.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	13Apr2018 19:41:04	-1	pinus.ybalab.sc.b1	13Apr2018 19:41:03	null	13Apr2018 19:41:03	YUIAT_RESEARCH_USER	NULL 
10458846	0	pimgr	/common/all/js/quest/0.1/dist/manager.jsp?i=/implicit//user/pinus/sc.b1//mgr.jsp&	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:09:53	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	1	realstart	instqiat.sc.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:09:55	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	2	sc.qiat_f	sc.qiat_f.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:10:09	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	3	instfscrs	instfscrs.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:21:58	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	4	fscrs	fscrs.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:22:41	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	5	instbsi	instbsi.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:24:16	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	6	bsi	bsi.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:24:22	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	7	instrses	instrses.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:26:47	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	8	rses	rses.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:26:54	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	9	instcesd	instcesd.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:27:21	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	10	cesd	cesd.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:27:26	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	11	instqiat.se	instqiat.se.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:28:18	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	12	se.qiat_f	se.qiat_f.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:28:33	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10458846	13	lastpage	lastpage.jst	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	16Apr2018 04:35:57	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	YUIAT_RESEARCH_USER	16Apr2018 04:35:57
10461459	0	pimgr	/common/all/js/quest/0.1/dist/manager.jsp?i=/implicit//user/pinus/sc.b1//mgr.jsp&	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 05:56:27	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	1	realstart	instqiat.sc.jst	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 05:56:29	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	2	sc.qiat_f	sc.qiat_f.js	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 05:56:38	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	3	instrses	instrses.jst	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 06:06:25	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	4	rses	rses.js	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 06:06:30	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	5	instfscrs	instfscrs.jst	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 06:07:13	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	6	fscrs	fscrs.js	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 06:07:28	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	7	instcesd	instcesd.jst	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 06:09:07	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	8	cesd	cesd.js	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 06:09:11	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	9	instbsi	instbsi.jst	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 06:10:39	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	10	bsi	bsi.js	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 06:10:46	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
10461459	11	instqiat.se	instqiat.se.jst	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	17Apr2018 06:12:58	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	YUIAT_RESEARCH_USER	17Apr2018 06:19:35
